;Ссылка;Тип жилья;Тип дома;Адрес;Метро;Текст объявления;Год постройки;Общая площадь, кв.м;Жилая площадь, кв.м;Цена, ₽
11;https://www.cian.ru/sale/flat/303281187/;Вторичка Апартаменты;;Краснопресненская наб., 20С1, Москва, ЦАО, р-н Пресненский м. Деловой центр;м. Деловой центр;Эксклюзивные видовые апартаменты в самом сердце МоскваСити. В комплексе небоскребов премиумкласса Neva Towers предлагаются к продаже роскошные апартаменты с 3 спальнями на 59 этаже башни Т1. Преимущества  Площадь 225 м обеспечивает простор и комфорт для жизни. Премиальная дизайнерская отделка в контрастных тонах создает стильную и уютную атмосферу. Апартаменты полностью меблированы и оснащены техникой ведущих мировых производителей. Мебель изготовлена на заказ из высококачественных материалов. Планировка  Просторная кухнягостиная, идеальная для приема гостей и семейных обедов. Мастерспальня с панорамным остеклением, ванной и душевой кабиной, а также просторной гардеробной. Две дополнительные спальни с системами хранения. Кабинет для работы или отдыха. Гостевой санузел с душевой кабиной. Хозяйственный блок с постирочной зоной. Просторный холл.Панорамные окна из каждой комнаты открывают захватывающий вид на город, реку и знаменитые башни МоскваСити. Это идеальный выбор для тех, кто ценит роскошь, комфорт и потрясающие виды.;;225;100;300000000
12;https://www.cian.ru/sale/flat/303293505/;Вторичка Апартаменты;Монолитный;Волоколамское ш., 71/22к3, Москва, СЗАО, р-н Покровское-Стрешнево м. Спартак;м. Спартак;Id 44324. Уважаемые покупатели, представляю вашему вниманию замечательные видовые апартаменты для себя или под инвестиции в прекрасном АпартКомплексе ДвижениеТушино. В комплексе есть практически всё для жизни и активного отдыха.Комплекс расположен в центре Движения и полностью оправдывает своё название. Вашему вниманию предлагается много увлекательных мест Живописный парк и набережная, которые планируют открыть свои двери до конца 2024 года, для любителей концертов и футбольных мероприятий стадион Банк Открытие Арена, спортивный комплекс Чкалов Арена, теннисные секции, фитнес залы, бассейны и многое другое. После насыщенного трудового дня можно отдохнуть в кофейне на территории комплекса, недалеко также можно посетить Кофеманию. Есть маркет Красное  Белое. До знаменитого ТРЦ Крокус Вегас рукой подать, на машине всего 1015 минут.Комплекс расположен в пешей доступности, рядом с транспортными узлами Метро, МЦДАэропорт Шереметьево  40 мин на автост. м. Спартак  5 минст. м. Тушинская  5 минМЦД Тушинская  7 минМКАД  10 мин на автоПишите, звоните, отвечу на все ваши вопросы.;;28,2;16;9499990
13;https://www.cian.ru/sale/flat/303261968/;Вторичка;Кирпичный;Смоленская наб., 2А, Москва, ЦАО, р-н Арбат м. Смоленская;м. Смоленская;ID 557600Для покупки предлагается великолепная 3комнатная квартира площадью 103 кв.м. с видом на набережную в легендарном Доме геологов. Здание украсило Смоленскую набережную в 1956 году, построенное Министерством геологии СССР. Дом признан объектом культурного наследия регионального значения как яркое воплощение сталинского ампира. Функциональная планировка включает гостиную, кухню, 2 спальни, раздельный санузел. Презентабельная входная группа с высокими потолками. Зеленый благоустроенный двор. Паркинг в закрытом дворе, въезд через шлагбаум. Вся инфраструктура центра столицы в шаговой доступности школы, детские сады, продуктовые магазины. Великолепная транспортная доступность удобные выезды на Садовое кольцо, улицу Новый Арбат и Кутузовский проспект до станции метро Смоленская всего 5 минут пешком.Подробная информация по телефонуНомер объекта 155760014501;1956;103;;64000000
14;https://www.cian.ru/sale/flat/303264217/;Вторичка;Кирпичный;Ленинский просп., 68/10, Москва, ЮЗАО, р-н Гагаринский м. Университет;м. Университет;Арт. 67670362 Предлагается к продаже комфортная для проживания 4х комнатная квартира в классическом сталинском доме с толстыми стенами, жб перекрытиями и высокими потолками. В квартире выполнен качественный дизайнерский ремонт с использованием дорогих импортных материалов. Пол  паркетная доска, двери, встроенные шкафы  массив, сантехника Villeroy, сплит система Mitsubishi Electric.   2 санузла. Лоджия с зоной отдыха. Встроенная кухня производство Германия с техникой Miele, холодильник и морозильная камера LIEBHERR, посудомоечная машина Bosch.   Ремонт делался с любовью для себя. Каждый сантиметр пространства использован функционально. Эксплуатировалась квартира очень аккуратно.  Окна выходят в тихий зелёный двор с большой благоустроенной территорией. Имеется свой каток, детские и спортивные площадки, зоны для отдыха. Много парковочных мест. Подъезд после капитального ремонта. Отличная локация дома. Пешая доступность до метро Университет. Рядом 3 спецшколы английская, немецкая, физикоматематическая. Удобный выезд на Ленинский и Ломоносовский проспекты. Один взрослый собственник. Собственность более 5 лет. Юридически и физически свободна.;1956;92;62;55000000
15;https://www.cian.ru/sale/flat/303266498/;Вторичка;Монолитный;просп. Генерала Дорохова, 39к2Л, Москва, ЗАО, р-н Раменки м. Минская;м. Минская;ID 251 959. Лучшая цена в комплексе Квартира продается с чистовой отделкой от застройщика. Квартира с 3мя спальнями общей площадью 98 м² в комплексе West Garden на западе Москвы у реки Раменки. Расположена на 6м этаже. Сейчас на стадии ремонта, как на фото. Ремонт завершится в августе 2024 года.  Интерьер будет оформлен в светлых тонах, стены покрашены, на полу уложена инженерная доска. Санузлы будут отделаны керамогранитом. Планировка кухнягостиная, мастерспальня с собственной гардеробной и ванной, 2 спальни, 2 санузла, гардеробная, холл. Окна ориентированы на югозапад, открываются виды во внутренний благоустроенный двор.;;97,5;79,5;56000000
16;https://www.cian.ru/sale/flat/303266761/;Вторичка;;Клинская ул., 2Ак7, Москва, САО, р-н Ховрино м. Грачёвская;м. Грачёвская;Электронные торги.1комн. квартира на продажу, 33,2 м²Москва, Клинская улица, дом 2А, корпус 7, этаж 8;2022;33,2;;10065000
17;https://www.cian.ru/sale/flat/303274787/;Вторичка;Монолитный;Большой Волоколамский проезд, 23, Москва, СЗАО, р-н Щукино м. Щукинская;м. Щукинская;Просторные и стильные дизайнерские апартаменты с потрясающим видом на город.  Отличается высокими потолками, большими панорамными окнами и современным дизайном. Интерьер выполнен в светлых тонах с использованием натуральных материалов.  Кухня оборудована по последнему слову техники и имеет отдельную столовую зону. Спальня оформлена в уютном стиле с большой комфортной кроватью. Современная ванная комната. Квартира идеально подойдет для тех, кто ценит комфорт и стильное пространство.Территория комплекса закрыта. Во внутреннем дворе выполнено авторское ландшафтное озеленение, созданы разнообразные зоны для прогулок и отдыха. На подземных этажах предусмотрены кладовые для хранения крупногабаритных вещей, а также паркинг на 129 мест.ЖК расположен в районе Щукино в окружении парка Всехсвятская роща. Хорошая транспортная доступность  12 мин. до МЦК Стрешнево, 5 мин до трамвайной и автобусной остановки, удобный выезд на Волоколамское шоссе.Оперативный показ Звоните и записывайтесь на просмотр.;;43;;19500000
18;https://www.cian.ru/sale/flat/303302912/;Новостройка;Монолитный;ул. Академика Волгина, 2С3, Москва, ЮЗАО, р-н Обручевский м. Воронцовская;м. Воронцовская;Квартира с отделкой Современный Светлый Бизнес. Окна на СЗ и ЮВ.Данную квартиру можно приобрести по семейной, IT и стандартной ипотеке, а также за наличный расчетЖК Бизнескласса Архитектор. Корпус 3, секция 1, номер квартиры на площадке 4. Срок сдачи 2 кв. 2024г. Продажа по переуступке прав требования уступка включена в стоимость, с регистрацией в Росреестре. Прямая продажа. Жилой комплекс представляет собой три башни разной этажности 28, 46, 47 этажей, которые объединены общим холлом.ЖК Архитектор  это комплекс, который прекрасно гармонирует в городским ландшафтом исторического района Москвы. Территория комплекса продумана до мелочей Зона коворкинга, детская площадка, круглосуточная охрана, дизайнерское, функциональное оформление территории и площадок, подземный трех уровневый вместительный паркинг, видеонаблюдение 247. Входные группы выполнены в современном стиле, в котором есть лаунжзона, зона ресепшен, колясочная, бесшумные скоростные лифты. Внутренний двор без машин представляет двухуровневое пространство. ЖК расположен на пересечении улиц Обручева и Академика Волгина в престижном ЮгоЗападном Округе столицы. Особая культурноинтеллектуальная среда этого района формировалась благодаря экологии в окружении парков, развитой транспортной и инфраструктурной среде, высокой концентрации хороших школ, развивающих центров и ВУЗов. Хорошая транспортная доступность, удобный выезд на ул. Обручева и Ленинский прт, в шаговой доступности м. Калужская7 минут пешком.Квартиру реализует отдел вторичной недвижимости ГК ФСК бесплатное сопровождение сделки, юристами застройщика.;;62,2;35,3;25000000
19;https://www.cian.ru/sale/flat/303295169/;Вторичка;Монолитный;Волоколамское ш., 95/2к4, Москва, СЗАО, р-н Покровское-Стрешнево м. Волоколамская;м. Волоколамская;В продаже евро 2я комнатная квартира 39,6 м² с отличной планировкой и видом. ЖК Cite Bay г. Москва СевероЗападном округ Москвы Класс  Бизнес О ДОМЕCity bay  это новый, строящийся комплекс от MR Group расположен в районе ПокровскоеСтрешнево, на берегу Спасского затона Москвыреки, на первой линии. Благоустройство прилегающей территории включает в себя организацию детских и спортивных площадок, зон отдыха и озеленение. Предусмотрены открытые гостевые парковки и подземный паркинг. В шаговой доступности находятся детские сады, школы, продовольственные магазины, торговый центр, парк и берег реки Москва. О КВАРТИРЕ26 этаж. Очень удобная, правильная планировка. Высота потолков более 3 м. Окна от пола до потолка с видом на Москвареку. ТРАНСПОРТНАЯ ДОСТУПНОСТЬДо платформы Трикотажная 9 минут пешком.До станции метро Спартак 18 минут на общественном транспорте.До МКАД 7 минут на автомобиле. ИНФРАСТРУКТУРАШколыДетские садыБизнес центрыСпортивные залы ЗАСТРОЙЩИКMR Group  один из крупных застройщиков с большим стажем на рынке России. ПОДГОТОВКА К СДЕЛКЕПереуступкаДокументы готовы к продажеОдин собственникБез обремененияБезопасная, чистая продажаВсе виды оплаты ипотека, наличнымиЛот 1002709;;39,6;13;15490000
20;https://www.cian.ru/sale/flat/303281115/;Вторичка Апартаменты;Монолитный;1-й Красногвардейский проезд, 22, Москва, ЦАО, р-н Пресненский м. Деловой центр;м. Деловой центр;Предлагается на продажу апартамент в Неве Новый ремонт, никто не жил. Лучшие видовые характеристики На Сити и на Москву реку.  Большая кухня гостиная гостевой санузел с душевой   гардеробная для верхней одежды  мастер спальня со своим санузлом и ванной, гардеробной и постирочной зоной.  Встроенная техника Gaggenau, сантехника Villeroy Bosh, элементы умного дома. Приточно вытяжная вентиляция и кондиционирование. В доме фитнес  с открытым бассейном и с зоной для шезлонгов, частный кинотеатр для жильцов , на стилобате свой парк с прогулочной зоной и и детской  площадкой. Кофемания, Angel cake, Azur Erdan и много других ресторанов и кафе. Обслуживание уровня пятизвездочного отеля.;;68;53;69990000
21;https://www.cian.ru/sale/flat/303277383/;Новостройка;Монолитный;Москва, ЮВАО, р-н Печатники, Левел Южнопортовая жилой комплекс, 2 м. Кожуховская;м. Кожуховская;Цена указана с учётом скидки 15.В перспективном районе на юговостоке Москвы продается 4комнатная квартира площадью 81.00 кв.м. без отделки. Квартира расположена на 38 этаже 47этажного корпуса 2 в жилом комплексе комфорткласса Level Южнопортовая компания Level GroupЛевел групп. Отличная транспортная доступность 10 мин. пешком до станции метро Кожуховская.  20 мин. пешком до станции МЦК Дубровка.  3 мин. на авто до ТТК.  7 мин. на авто до Волгоградского проспекта.  13 мин. на авто до Садового кольца. Продуманный архитектурный проект Авторская архитектура волнообразные небоскребы, вдохновленные динамикой воды. Высотность квартала до 69 этажей  уникальные виды на реку, парки и город.  Высота потолков от 2,85 м в типовых планировках.  Современные окна высотой до 1,9 м с высоким коэффициентом сопротивления теплоотдаче. Высота подоконников  0,6 м. Расположение Level Южнопортовая строится в северной части Печатников  самой приближенной к центру. Здесь будет сформирован новый район Южный порт площадью больше 400 га, где построят крупный жилой и общественноделовой центр, аналогичный МоскваСити. В течение 1012 лет в процессе редевелопмента здесь появятся не только жилые дома, но и развитая инфраструктура для жизни и работы. А еще совсем рядом расположена набережная Москвыреки, где планируется построить причалы для речных трамвайчиков и канатную дорогу, которая соединит берега реки. Уже сейчас вокруг территории будущего ЖК находится более десятка супермаркетов и торговых центров, такие как Мозаика и Ривьера. В 15 минутах на авто 10 вузов, 18 детских садов и 12 школ. В 10 минутах на авто детская и взрослая поликлиники, несколько больниц. Пешком можно дойти до 3 фитнесклубов. Рядом расположено 6 парков, среди которых музейзаповедник Коломенское. Внутренняя инфраструктураКомфорт  это когда рядом всё, что нужно для жизни. Поэтому на первых этажах ЖК появятся кафе, салон красоты и товары для дома. В квартале будет свой торговый центр и медицинский центр с врачами разных специальностей. Еще один инструмент для поддержания здоровья  фитнесцентр, который появится прямо в жилом комплексе. Для детей тут же построят собственный детский сад и школу. Благоустройство Основная идея  создать аналог Центрального парка в НьюЙорке, гармонично сочетая высотные здания и большое изолированное парковое пространство. Вся площадь парка на внутренней территории Level Южнопортовая будет огорожена и составит более 2 га, из которых 45  озеленение. Конечно, всё это без машин. Одним из самых важных ландшафтных элементов двора станет искусственное озеро и небольшая речка, наполняющаяся во время дождя. Вокруг неё появится сеть из островов, внутри которых расположатся тематические зоны спорта и отдыха.Артикул 2289.;;81;;29349889
22;https://www.cian.ru/sale/flat/303275965/;Вторичка;Монолитный;Полярная ул., 27к4, Москва, СВАО, р-н Южное Медведково м. Медведково;м. Медведково;Арт. 67699296 Просторная светлая 3комнатная квартира в еропланировке. Две изолированные комнаты и большая кухнягостиная, два санузла и просторный коридор. Угловая , два больших окна в кухнегостиной.Квартира полностью укомплектована техникой и мебелью, так что можно сразу заехать и жить  Новый дом. Мебель и техника. Увеличенные окна. На территории большая детская площадка, тихий закрытый двор. Отличная локация , транспортная доступность. Шикарное расположение Школысадики во дворе.Квартира покупалась у застройщика, без залога, свободная продажа.Детская и взрослая поликлиники, несколько детских садов, гимназии и школы,магазины, салоны красоты, банки, тренажерные залы, кафе, рестораны и два многоуровневых паркинга. Экологически чистый район. Хорошая транспортная доступность.метро Бибирево и Медведково в пешей доступности. Рядом парк Яуза с велодорожками и зонами для прогулок.Рядом с домом находится автобусная остановка.ЗвонитеПОМОЖЕМ В ПОЛУЧЕНИИ ИПОТЕКИКомпания Миэль гарантирует своим клиентам безопасность сделки, выдаем правовой сертификат на квартиру.;2020;58;32;18999990
